id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,<S1,381,ORANG,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,>=S1,2382,ORANG,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,<S1,195,ORANG,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,>=S1,2019,ORANG,2018
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,<S1,158,ORANG,2018
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,>=S1,1169,ORANG,2018
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,<S1,56,ORANG,2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,>=S1,714,ORANG,2018
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,<S1,138,ORANG,2018
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,>=S1,1409,ORANG,2018
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,<S1,87,ORANG,2018
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,>=S1,1154,ORANG,2018
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,<S1,125,ORANG,2018
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,>=S1,1197,ORANG,2018
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,<S1,53,ORANG,2018
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,>=S1,1140,ORANG,2018
17,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,<S1,126,ORANG,2018
18,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,>=S1,1429,ORANG,2018
19,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,<S1,77,ORANG,2018
20,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,>=S1,1205,ORANG,2018
21,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,<S1,98,ORANG,2018
22,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,>=S1,1166,ORANG,2018
23,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,<S1,61,ORANG,2018
24,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,>=S1,1053,ORANG,2018
25,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,<S1,48,ORANG,2018
26,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,>=S1,658,ORANG,2018
27,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,<S1,24,ORANG,2018
28,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,>=S1,603,ORANG,2018
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,<S1,51,ORANG,2018
30,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,>=S1,843,ORANG,2018
31,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,<S1,8,ORANG,2018
