id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_guru,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,3744,ORANG,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,4979,ORANG,2020
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1988,ORANG,2020
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1894,ORANG,2020
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2136,ORANG,2020
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2235,ORANG,2020
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,2353,ORANG,2020
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,3603,ORANG,2020
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,2452,ORANG,2020
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,2832,ORANG,2020
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1616,ORANG,2020
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,2154,ORANG,2020
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,979,ORANG,2020
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,1352,ORANG,2020
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1167,ORANG,2020
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1177,ORANG,2020
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1785,ORANG,2020
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,2529,ORANG,2020
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1069,ORANG,2020
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1203,ORANG,2020
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1086,ORANG,2020
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1437,ORANG,2020
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1677,ORANG,2020
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,1783,ORANG,2020
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1398,ORANG,2020
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1771,ORANG,2020
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,685,ORANG,2020
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,1125,ORANG,2020
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1356,ORANG,2020
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1969,ORANG,2020
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2156,ORANG,2020
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,3180,ORANG,2020
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1224,ORANG,2020
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1747,ORANG,2020
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,442,ORANG,2020
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,559,ORANG,2020
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,900,ORANG,2020
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,1340,ORANG,2020
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,305,ORANG,2020
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,503,ORANG,2020
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1777,ORANG,2020
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,3262,ORANG,2020
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,387,ORANG,2020
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,648,ORANG,2020
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1750,ORANG,2020
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,2954,ORANG,2020
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1211,ORANG,2020
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1997,ORANG,2020
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,277,ORANG,2020
50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,655,ORANG,2020
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,647,ORANG,2020
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,981,ORANG,2020
53,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,193,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,341,ORANG,2020
