id,kode_provinsi,nama_provinsi,kode_kabupaten_kota_kemendagri,nama_kabupaten_kota_kemendagri,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa,bps_nama_desa,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa,kemendagri_nama_desa,status_sinyal,keberadaan_internet,kepemilikan_internet,ketersediaan_tower_bts,jarak_tower_terdekat,keberadaan_telkomsel,keberadaan_indosat,keberadaan_xl_axiata,keberadaan_operator_lain,operator_lainnya,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190006,WANAHERANG,32.01.02,GUNUNG PUTRI,32.01.02.2001,WANAHERANG,SINYAL KUAT,ADA,ADA,ADA,1.0,ADA,ADA,ADA,ADA,TRI,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190010,BOJONG KULUR,32.01.02,GUNUNG PUTRI,32.01.02.2002,BOJONG KULUR,SINYAL KUAT,ADA,ADA,ADA,1.0,ADA,ADA,ADA,ADA,TRI,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190009,CIANGSANA,32.01.02,GUNUNG PUTRI,32.01.02.2003,CIANGSANA,SINYAL KUAT,ADA,ADA,ADA,200.0,ADA,ADA,ADA,ADA,TRI,2021
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190002,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,32.01.02.2004,GUNUNG PUTRI,SINYAL KUAT,ADA,ADA,ADA,1.0,ADA,ADA,ADA,ADA,"TRI, AXIS, SMARTFREN",2021
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190004,BOJONG NANGKA,32.01.02,GUNUNG PUTRI,32.01.02.2005,BOJONG NANGKA,SINYAL KUAT,ADA,ADA,ADA,1.0,ADA,ADA,ADA,ADA,"TELKOMSEL, XL, IM3, INDOSAT, AXIS",2021
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190003,TLAJUNG UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2006,TLAJUNG UDIK,SINYAL KUAT,ADA,ADA,ADA,500.0,ADA,ADA,ADA,ADA,AXIS,2021
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190005,CICADAS,32.01.02,GUNUNG PUTRI,32.01.02.2007,CICADAS,SINYAL KUAT,ADA,ADA,ADA,0.5,ADA,ADA,ADA,ADA,TRI,2021
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190007,CIKEAS UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2008,CIKEAS UDIK,SINYAL KUAT,ADA,ADA,ADA,200.0,ADA,ADA,ADA,ADA,TRI,2021
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190008,NAGRAK,32.01.02,GUNUNG PUTRI,32.01.02.2009,NAGRAK,SINYAL KUAT,ADA,ADA,ADA,150.0,ADA,ADA,ADA,ADA,"TRI, SMARTFREN",2021
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190001,KARANGGAN,32.01.02,GUNUNG PUTRI,32.01.02.2010,KARANGGAN,SINYAL KUAT,ADA,ADA,ADA,500.0,ADA,ADA,ADA,ADA,TRI,2021
